date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),site number,site name
04/02/20,25.91,46.78,,,0.0,,25.42,0.53,62.75,0.0,0.0,0.0,,,,24.16,50.87,0.87,283.81,,0.0,563.11,,,5344,Teri Gram
04/02/20,31.6,78.37,1.36,13.36,7.26,39.57,14.48,0.54,71.85,3.03,2.21,5.08,,17.19,13.89,24.81,48.63,1.07,255.8,0.0,0.0,,,,5345,Sector-51
05/02/20,36.37,,3.2,21.59,12.19,,1.41,1.08,130.97,2.0,5.99,3.01,,3.0,4.0,,48.81,1.87,84.99,,0.0,238.49,760.94,0.02,146,Vikas Sadan
05/02/20,40.37,104.69,7.3,8.17,15.47,,,0.75,32.58,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
05/02/20,45.75,95.32,3.82,3.0,3.06,,6.94,0.46,92.41,7.95,0.9,0.6,,9.63,0.32,29.57,53.7,2.08,101.39,,0.0,438.32,,,5344,Teri Gram
05/02/20,40.69,110.73,1.01,9.78,5.02,16.06,7.91,0.54,109.07,3.14,2.09,3.58,,10.28,9.38,29.93,53.04,1.49,139.59,0.0,0.0,,,,5345,Sector-51
06/02/20,32.73,,7.3,30.47,18.92,,5.44,0.42,82.49,1.99,6.0,2.98,,3.0,4.01,,48.64,0.77,205.08,,0.0,285.77,760.69,-0.19,146,Vikas Sadan
06/02/20,45.04,93.53,2.45,11.29,13.74,,,1.42,29.32,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
06/02/20,67.79,253.0,7.53,2.93,7.38,,3.58,0.67,60.86,9.5,1.37,0.54,,19.06,0.13,29.3,61.07,0.79,180.17,,0.0,410.11,,,5344,Teri Gram
06/02/20,41.11,99.08,1.47,15.33,7.76,11.7,7.13,0.54,95.13,3.32,1.62,3.45,,8.88,8.46,30.39,50.93,0.7,176.87,0.0,0.0,,,,5345,Sector-51
07/02/20,77.31,,5.96,11.41,7.06,,8.05,0.81,87.97,2.0,5.99,2.99,,3.0,3.99,,54.06,0.77,203.27,,0.0,206.25,747.94,-0.19,146,Vikas Sadan
